               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09346,             0.16674,                   0,                   0,                   0,                   0,                   0,            0.091028,             0.15839,                   0,                 0.1,                   0,                   0
                   1,            0.090397,             0.17986,                   0,                   0,                   0,                   0,                   0,            0.091028,             0.15839,                   0,             0.09909,            9.01e-05,            9.01e-05
                   2,            0.050197,             0.11045,                   0,                   0,                   0,                   0,                   0,            0.092193,             0.16092,                   0,             0.09816,           0.0001604,           0.0001604
                   3,            0.094274,             0.15626,                   0,                   0,                   0,                   0,                   0,            0.092193,             0.16092,                   0,            0.097211,           0.0002109,           0.0002109
                   4,            0.089859,             0.17438,                   0,                   0,                   0,                   0,                   0,            0.092193,             0.16092,                   0,            0.096242,           0.0002416,           0.0002416
                   5,            0.094926,             0.15222,                   0,                   0,                   0,                   0,                   0,            0.092193,             0.16092,                   0,            0.095253,           0.0002525,           0.0002525
                   6,             0.09532,             0.14509,                   0,                   0,                   0,                   0,                   0,            0.092193,             0.16092,                   0,            0.094244,           0.0002436,           0.0002436
                   7,            0.092775,             0.16652,                   0,                   0,                   0,                   0,                   0,            0.093786,             0.15703,                   0,            0.093215,           0.0002149,           0.0002149
                   8,            0.094164,             0.14793,                   0,                   0,                   0,                   0,                   0,            0.093786,             0.15703,                   0,            0.092166,           0.0001664,           0.0001664
                   9,            0.092805,             0.14896,                   0,                   0,                   0,                   0,                   0,            0.093786,             0.15703,                   0,            0.091098,            9.81e-05,            9.81e-05
